NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,21,2,56.2,55076000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
MR Group,developer,Москва,sale,flat,47,2,57.84,25912320.0,Хорошево-Мневники,,,Полежаевская,Джойс ЖК
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,Москва,sale,flat,9,2,74.0,30000000.0,Очаково-Матвеевское,Аминьевское шоссе,4Дк2,Аминьевская,Вестердам
Forma,developer,Москва,sale,flat,29,2,65.2,25687170.0,Аэропорт,Часовая ,28к8,Сокол,SOUL
ID 109135729,realtor,Москва,sale,flat,21,2,59.2,61000000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Sminex,developer,Москва,sale,flat,14,1,72.6,139410000.0,Якиманка,,,Полянка,Лаврушинский ЖК
ID 95814020,realtor,Москва,sale,flat,17,2,71.0,17500000.0,, Никитина,11к4,Рассказовка,
Regions Development,developer,Москва,sale,flat,24,2,58.1,,Нагатинский затон,проспект Андропова,9/1к2,Технопарк,Dream Towers
ID 285016,homeowner,Москва,sale,flat,21,2,51.0,26600000.0,Очаково-Матвеевское, Малая Очаковская,4Ак1,Озёрная,Мичуринский парк
Tekta Group,developer,Москва,sale,flat,27,2,40.5,25037100.0,Даниловский,,1,Крестьянская застава,Эра ЖК
Whitewill,real_estate_agent,Москва,sale,flat,24,2,57.4,37480000.0,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы
Webster,real_estate_agent,Москва,sale,flat,8,2,55.5,24000000.0,Ломоносовский, Строителей,7К1,Университет,
Sminex,developer,Москва,sale,flat,6,2,207.3,582330000.0,Хамовники,3-й Обыденский переулок,1С1,Кропоткинская,Клубный дом Обыденский № 1
Kalinka Group,real_estate_agent,Москва,sale,flat,9,2,148.5,189000000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
PROНЕДВИЖИМОСТЬ,real_estate_agent,Москва,sale,flat,12,2,44.0,10800000.0,Дмитровский,Клязьминская ,4,Грачёвская,
Основа,developer,Москва,sale,flat,29,2,62.3,26038421.0,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,9,2,64.2,77000000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,5,2,60.0,38500000.0,Хамовники,Комсомольский проспект,14/1К3,Парк Культуры,
Основа,developer,Москва,sale,flat,19,2,52.9,47610000.0,Красносельский,проспект Академика Сахарова,7,Красные ворота,RED7
Romanov Estate,real_estate_agent,Москва,sale,flat,45,1,64.0,40999999.0,Дорогомилово,Кутузовский проезд,16А/1,Шелепиха,River Park Кутузовский
BERI,real_estate_agent,Москва,sale,flat,12,2,38.7,19070000.0,Пресненский,Шелепихинское шоссе,17К3,Шелепиха,
Группа Родина,developer,Москва,sale,flat,23,2,61.0,31127000.0,Ростокино,,к6,Ботанический сад,Союз ЖК
Whitewill,real_estate_agent,Москва,sale,flat,5,2,106.0,155000000.0,Тверской,Никольская ,10,Площадь Революции,St. Nickolas
ЦеНтр ПИК,real_estate_agent,Москва,sale,flat,22,2,39.9,11500000.0,, Картмазовские Пруды,2к3,Филатов Луг,Филатов луг
Аеон-Девелопмент,developer,Москва,sale,flat,46,2,63.8,44757291.0,Дорогомилово,Кутузовский проезд,16А/1,Фили,River Park Кутузовский
ESSE REAL ESTATE,real_estate_agent,Москва,sale,flat,9,2,37.0,13199000.0,Бабушкинский,Староватутинский проезд,3,Бабушкинская,
HOUSE MALL - Городская недвижимость,real_estate_agent,Москва,sale,flat,38,2,65.0,23000000.0,Ростокино,проспект Мира,188Бк4,Ростокино,Триколор
Capital Group,developer,Москва,sale,flat,18,2,45.8,56907301.0,Дорогомилово,,,Москва-Сити,Бадаевский ЖК
hoomie,real_estate_agent,Москва,sale,flat,20,1,43.09,20252300.0,Даниловский,Автозаводская ,26,Тульская,FORST
Андрей Вдовин,realtor,Москва,sale,flat,15,1,31.9,11758286.0,Хорошевский,Ходынский бульвар,2,ЦСКА,Лайнер
Концерн КРОСТ,developer,Москва,sale,flat,19,2,57.7,28388400.0,Щукино, Расплетина,2к1,Октябрьское поле,Театральный квартал
Ю-Питер,real_estate_agent,Москва,sale,flat,16,2,50.5,14000000.0,Отрадное, Бестужевых,13,Отрадное,
CENTURY 21 Столичная недвижимость,real_estate_agent,Москва,sale,flat,20,2,71.0,14250000.0,, Барышевская Роща,12,Щербинка,Прима-Парк
Концерн КРОСТ,developer,Москва,sale,flat,6,2,44.2,26078000.0,Хорошево-Мневники, Саляма Адиля,2А,Народное Ополчение,Wellton SPA Residence
ID 112591621,homeowner,Москва,sale,flat,47,2,51.0,32950000.0,Дорогомилово,Кутузовский проезд,16А/1,Фили,River Park Кутузовский
ID 88675389,unknown,Москва,sale,flat,6,2,70.0,31600000.0,Москворечье-Сабурово,переулок 1-й Котляковский,2Ак3,Варшавская,LIFE Варшавская
РГ-Девелопмент,developer,Москва,sale,flat,9,2,54.3,11887465.0,Чертаново Южное,,1.1,Аннино,Варшавские Ворота ЖК
Level Group,developer,Москва,sale,flat,26,2,46.1,19972862.0,Нагатино-Садовники,Нагатинская набережная,,Нагатинская,Level Нагатинская
Romanov Estate,real_estate_agent,Москва,sale,flat,20,2,79.4,29870000.0,Нагатино-Садовники,Варшавское шоссе,37АК1,Нагатинская,Rotterdam
MR Group,developer,Москва,sale,flat,59,1,30.4,,Можайский,,,Давыдково,Веер ЖК
Whitewill,real_estate_agent,Москва,sale,flat,79,1,72.0,70000000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Ташир,developer,Москва,sale,flat,21,2,48.1,15680600.0,Очаково-Матвеевское,Аминьевское шоссе,6,Давыдково,West Tower (Апартаменты бизнес-класса)
CENTURY 21 Столичная недвижимость,real_estate_agent,Москва,sale,flat,17,1,43.4,19100000.0,Даниловский,набережная Марка Шагала,15к1,Технопарк,Shagal
COLDY,developer,Москва,sale,flat,15,1,30.8,26977720.0,Даниловский, Серпуховский Вал,7с16,Тульская,Дом 7 Даниловский
